Threshold,Total_Conversations,Conversations_With_Farewells,Percentage
1,20810,2399,11.53%
2,18773,2360,12.57%
3,17143,2299,13.41%
4,15532,2212,14.24%
5,13902,2101,15.11%
6,12279,1980,16.13%
7,10707,1833,17.12%
8,9291,1678,18.06%
9,7994,1524,19.06%
10,6910,1387,20.07%
11,5979,1255,20.99%
12,5164,1129,21.86%
13,4491,1009,22.47%
14,3939,906,23.00%
15,3449,828,24.01%
16,2994,744,24.85%
17,2628,669,25.46%
18,2322,606,26.10%
19,2079,554,26.65%
20,1838,510,27.75%
21,1642,472,28.75%
22,1475,435,29.49%
23,1333,400,30.01%
24,1188,367,30.89%
25,1079,337,31.23%
26,983,320,32.55%
27,894,298,33.33%
28,827,276,33.37%
29,754,256,33.95%
30,697,243,34.86%
31,654,228,34.86%
32,587,213,36.29%
33,547,203,37.11%
34,517,196,37.91%
35,478,189,39.54%
36,445,182,40.90%
37,428,175,40.89%
38,401,171,42.64%
39,377,162,42.97%
40,359,156,43.45%
41,345,149,43.19%
42,333,144,43.24%
43,323,140,43.34%
44,310,138,44.52%
45,295,134,45.42%
46,280,128,45.71%
47,263,123,46.77%
48,252,116,46.03%
49,239,114,47.70%
50,227,108,47.58%
51,223,107,47.98%
52,215,103,47.91%
53,208,100,48.08%
54,204,99,48.53%
55,199,95,47.74%
56,184,90,48.91%
57,176,87,49.43%
58,170,84,49.41%
59,162,82,50.62%
60,155,81,52.26%
61,150,77,51.33%
62,145,73,50.34%
63,137,69,50.36%
64,132,67,50.76%
65,128,67,52.34%
66,123,64,52.03%
67,118,60,50.85%
68,117,60,51.28%
69,111,59,53.15%
70,109,59,54.13%
71,106,58,54.72%
72,104,56,53.85%
73,102,56,54.90%
74,100,55,55.00%
75,98,55,56.12%
76,96,55,57.29%
77,93,54,58.06%
78,91,52,57.14%
79,89,50,56.18%
80,88,49,55.68%
81,87,48,55.17%
82,84,46,54.76%
83,84,46,54.76%
84,82,46,56.10%
85,82,46,56.10%
86,81,45,55.56%
87,80,45,56.25%
88,78,44,56.41%
89,74,41,55.41%
90,73,41,56.16%
91,72,40,55.56%
92,70,40,57.14%
93,68,40,58.82%
94,68,40,58.82%
95,66,40,60.61%
96,65,39,60.00%
97,63,38,60.32%
98,62,37,59.68%
99,61,36,59.02%
100,60,36,60.00%
